++average   	++position_x	++position_y	++radius    	
$$0.16424	$$170.00000	$$139.00000	$$8.00000	
$$0.16050	$$170.00000	$$139.00000	$$8.00000	
$$0.16025	$$170.00000	$$139.00000	$$8.00000	
$$0.16076	$$170.00000	$$140.00000	$$8.00000	
$$0.16263	$$170.00000	$$140.00000	$$8.00000	
$$0.16118	$$170.00000	$$140.00000	$$8.00000	
$$0.15974	$$170.00000	$$140.00000	$$8.00000	
$$0.16416	$$170.00000	$$139.00000	$$8.00000	
$$0.17436	$$170.00000	$$139.00000	$$8.00000	
$$0.17912	$$170.00000	$$139.00000	$$8.00000	
$$0.17802	$$170.00000	$$139.00000	$$8.00000	
$$0.15863	$$170.00000	$$139.00000	$$8.00000	
$$0.15566	$$170.00000	$$139.00000	$$8.00000	
$$0.15285	$$170.00000	$$139.00000	$$8.00000	
$$0.15217	$$170.00000	$$139.00000	$$8.00000	
$$0.15200	$$170.00000	$$139.00000	$$8.00000	
$$0.15217	$$170.00000	$$139.00000	$$8.00000	
$$0.15268	$$170.00000	$$139.00000	$$8.00000	
$$0.15370	$$170.00000	$$139.00000	$$8.00000	
$$0.15591	$$170.00000	$$139.00000	$$8.00000	
$$0.16390	$$170.00000	$$139.00000	$$8.00000	
$$0.17181	$$170.00000	$$139.00000	$$8.00000	
$$0.18108	$$170.00000	$$139.00000	$$8.00000	
$$0.19952	$$170.00000	$$139.00000	$$8.00000	
$$0.21041	$$170.00000	$$139.00000	$$8.00000	
$$0.22673	$$170.00000	$$139.00000	$$8.00000	
$$0.24237	$$170.00000	$$139.00000	$$8.00000	
$$0.25283	$$170.00000	$$139.00000	$$8.00000	
$$0.25478	$$170.00000	$$139.00000	$$8.00000	
$$0.27816	$$170.00000	$$139.00000	$$8.00000	
$$0.28853	$$172.00000	$$139.00000	$$8.00000	
$$0.30145	$$172.00000	$$139.00000	$$8.00000	
$$0.31395	$$172.00000	$$139.00000	$$8.00000	
$$0.32449	$$172.00000	$$139.00000	$$8.00000	
$$0.33333	$$172.00000	$$140.00000	$$8.00000	
$$0.34421	$$172.00000	$$140.00000	$$8.00000	
$$0.35374	$$172.00000	$$140.00000	$$8.00000	
$$0.35586	$$172.00000	$$140.00000	$$8.00000	
$$0.35918	$$172.00000	$$139.00000	$$8.00000	
$$0.35603	$$172.00000	$$139.00000	$$8.00000	
$$0.34481	$$172.00000	$$139.00000	$$8.00000	
$$0.34073	$$172.00000	$$139.00000	$$8.00000	
$$0.34013	$$172.00000	$$139.00000	$$8.00000	
$$0.33818	$$172.00000	$$139.00000	$$8.00000	
$$0.33520	$$172.00000	$$139.00000	$$8.00000	
$$0.33206	$$172.00000	$$139.00000	$$8.00000	
$$0.33053	$$172.00000	$$139.00000	$$8.00000	
$$0.33146	$$172.00000	$$139.00000	$$8.00000	
$$0.32466	$$172.00000	$$139.00000	$$8.00000	
$$0.32101	$$172.00000	$$139.00000	$$8.00000	
$$0.29814	$$172.00000	$$140.00000	$$8.00000	
$$0.23693	$$172.00000	$$139.00000	$$8.00000	
$$0.19136	$$172.00000	$$139.00000	$$8.00000	
$$0.18057	$$172.00000	$$139.00000	$$8.00000	
$$0.17504	$$172.00000	$$139.00000	$$8.00000	
$$0.16594	$$170.00000	$$139.00000	$$8.00000	
$$0.16322	$$170.00000	$$140.00000	$$8.00000	
$$0.16178	$$170.00000	$$140.00000	$$8.00000	
$$0.15804	$$170.00000	$$139.00000	$$8.00000	
$$0.16067	$$170.00000	$$139.00000	$$8.00000	
$$0.15727	$$170.00000	$$139.00000	$$8.00000	
$$0.16127	$$170.00000	$$139.00000	$$8.00000	
$$0.16016	$$170.00000	$$140.00000	$$8.00000	
$$0.16824	$$172.00000	$$140.00000	$$8.00000	
$$0.16756	$$172.00000	$$140.00000	$$8.00000	
$$0.15982	$$170.00000	$$139.00000	$$8.00000	
$$0.16994	$$172.00000	$$139.00000	$$8.00000	
$$0.15727	$$170.00000	$$139.00000	$$8.00000	
$$0.16458	$$170.00000	$$139.00000	$$8.00000	
$$0.17921	$$172.00000	$$139.00000	$$8.00000	
$$0.17028	$$170.00000	$$139.00000	$$8.00000	
