++average   	++position_x	++position_y	++radius    	++flow      	
$$0.24799	$$190.00000	$$157.00000	$$8.00000	$$-23.32000	
$$0.25095	$$190.00000	$$157.00000	$$8.00000	$$-22.82000	
$$0.25133	$$190.00000	$$157.00000	$$8.00000	$$-20.82000	
$$0.25037	$$190.00000	$$157.00000	$$8.00000	$$-18.19000	
$$0.24819	$$190.00000	$$157.00000	$$8.00000	$$-18.65000	
$$0.24446	$$190.00000	$$158.00000	$$8.00000	$$-15.46000	
$$0.24478	$$190.00000	$$157.00000	$$8.00000	$$-14.26000	
$$0.24395	$$190.00000	$$157.00000	$$8.00000	$$-12.73000	
$$0.23836	$$190.00000	$$158.00000	$$8.00000	$$-10.70000	
$$0.23399	$$190.00000	$$158.00000	$$8.00000	$$-9.56000	
$$0.23021	$$190.00000	$$158.00000	$$8.00000	$$-8.41000	
$$0.22000	$$190.00000	$$158.00000	$$8.00000	$$-7.28000	
$$0.20118	$$190.00000	$$157.00000	$$8.00000	$$-7.00000	
$$0.18269	$$190.00000	$$157.00000	$$8.00000	$$-5.19000	
$$0.15829	$$190.00000	$$157.00000	$$8.00000	$$-3.17000	
$$0.14467	$$190.00000	$$157.00000	$$8.00000	$$5.58000	
$$0.13273	$$190.00000	$$157.00000	$$8.00000	$$10.64000	
$$0.12644	$$190.00000	$$157.00000	$$8.00000	$$15.73000	
$$0.12136	$$190.00000	$$157.00000	$$8.00000	$$13.19000	
$$0.12014	$$190.00000	$$157.00000	$$8.00000	$$21.66000	
$$0.11957	$$190.00000	$$157.00000	$$8.00000	$$22.20000	
$$0.12323	$$190.00000	$$157.00000	$$8.00000	$$22.41000	
$$0.12573	$$190.00000	$$157.00000	$$8.00000	$$23.02000	
$$0.12599	$$190.00000	$$157.00000	$$8.00000	$$26.56000	
$$0.13055	$$190.00000	$$157.00000	$$8.00000	$$23.83000	
$$0.13100	$$190.00000	$$157.00000	$$8.00000	$$25.23000	
$$0.13151	$$190.00000	$$157.00000	$$8.00000	$$28.23000	
$$0.13671	$$190.00000	$$157.00000	$$8.00000	$$31.38000	
$$0.13189	$$190.00000	$$157.00000	$$8.00000	$$27.32000	
$$0.12997	$$190.00000	$$157.00000	$$8.00000	$$25.62000	
$$0.13157	$$190.00000	$$157.00000	$$8.00000	$$20.83000	
$$0.12875	$$190.00000	$$157.00000	$$8.00000	$$18.16000	
$$0.16349	$$188.00000	$$155.00000	$$8.00000	$$13.83000	
$$0.16297	$$188.00000	$$155.00000	$$8.00000	$$11.45000	
$$0.16227	$$188.00000	$$155.00000	$$8.00000	$$15.97000	
$$0.12804	$$190.00000	$$155.00000	$$8.00000	$$16.98000	
$$0.15919	$$188.00000	$$155.00000	$$8.00000	$$16.33000	
$$0.15931	$$188.00000	$$155.00000	$$8.00000	$$16.75000	
$$0.16034	$$188.00000	$$155.00000	$$8.00000	$$13.73000	
$$0.16028	$$188.00000	$$155.00000	$$8.00000	$$11.23000	
$$0.16028	$$188.00000	$$155.00000	$$8.00000	$$11.37000	
$$0.16182	$$188.00000	$$155.00000	$$8.00000	$$11.06000	
$$0.16426	$$188.00000	$$155.00000	$$8.00000	$$0.00000	
$$0.16439	$$188.00000	$$155.00000	$$8.00000	$$0.00000	
$$0.16567	$$188.00000	$$155.00000	$$8.00000	$$0.00000	
$$0.16728	$$188.00000	$$155.00000	$$8.00000	$$-1.86000	
$$0.14230	$$190.00000	$$157.00000	$$8.00000	$$-5.71000	
$$0.15553	$$190.00000	$$157.00000	$$8.00000	$$-6.92000	
$$0.16452	$$190.00000	$$157.00000	$$8.00000	$$-5.44000	
$$0.17928	$$190.00000	$$155.00000	$$8.00000	$$-7.43000	
$$0.18468	$$190.00000	$$157.00000	$$8.00000	$$-8.68000	
$$0.18853	$$190.00000	$$157.00000	$$8.00000	$$-12.09000	
$$0.19444	$$190.00000	$$157.00000	$$8.00000	$$-15.84000	
$$0.19161	$$190.00000	$$157.00000	$$8.00000	$$-17.18000	
$$0.20067	$$190.00000	$$157.00000	$$8.00000	$$-17.98000	
$$0.20439	$$190.00000	$$157.00000	$$8.00000	$$-17.80000	
$$0.21062	$$190.00000	$$157.00000	$$8.00000	$$-16.85000	
$$0.21390	$$190.00000	$$157.00000	$$8.00000	$$-15.78000	
$$0.21364	$$190.00000	$$157.00000	$$8.00000	$$-14.67000	
$$0.21422	$$190.00000	$$157.00000	$$8.00000	$$-8.86000	
$$0.21865	$$190.00000	$$157.00000	$$8.00000	$$-7.94000	
$$0.21890	$$190.00000	$$157.00000	$$8.00000	$$-5.85000	
$$0.21826	$$190.00000	$$157.00000	$$8.00000	$$-7.77000	
